chromosome,chromStart,chromEnd,strand,symbol,GeneID,feature_interval_length
chr1,33719896,33742564,+,Rab23,19335,22669
chr1,33745484,33757750,-,Bag2,213539,12267
chr1,33761541,33815602,-,Zfp451,98403,54062
chr1,33835899,33838914,-,Gm15455,433287,3016
chr1,33852052,33907933,-,Bend6,320705,55882
chr1,33907888,34308662,+,Dst,13518,400775
chr1,34436670,34439672,-,Ccdc115,69668,3003
chr1,34439829,34445747,+,Imp4,27993,5919
chr1,34459729,34473784,+,Ptpn18,19253,14056
chr1,34498412,34503062,+,Prss39,21755,4651
chr1,34535648,34544311,+,Cfc1,12627,8664
chr1,34536448,34561004,-,Prss40,21756,24557
chr1,34578907,34590944,+,Amer3,211383,12038
chr1,34677949,34812754,+,Arhgef4,226970,134806
chr1,34813218,34843050,-,Fam168b,214469,29833
chr1,34849959,34879585,+,Plekhb2,226971,29627
chr1,36068400,36106446,+,Hs6st1,50785,38047
chr1,36140028,36244320,-,Uggt1,320011,104293
chr1,36264602,36274674,-,Neurl3,214854,10073
chr1,36307733,36324037,+,Arid5a,214855,16305
chr1,36335730,36369193,-,Kansl3,226976,33464
chr1,36372183,36422110,+,Fer1l5,100534273,49928
chr1,36418900,36445271,-,Lman2l,214895,26372
chr1,36471597,36508776,+,Cnnm4,94220,37180
chr1,36511867,36528237,+,Cnnm3,94218,16371
chr1,36530193,36536556,-,Ankrd23,78321,6364
chr1,36538171,36547252,-,Ankrd39,109346,9082
chr1,36548639,36560699,-,Sema4c,20353,12061
chr1,36562696,36683190,-,Fam178b,381337,120495
chr1,36691487,36693388,+,Cox5b,12859,1902
chr1,36698114,36710017,-,Actr1b,226977,11904
chr1,36761798,36782821,+,Zap70,22637,21024
chr1,36792189,36939614,-,Tmem131,56030,147426
chr1,37029158,37187608,+,Vwa3b,70853,158451
chr1,37218241,37263384,+,Cnga3,12790,45144
chr1,37299827,37410740,+,Inpp4a,269180,110914
chr1,37417085,37430103,-,Coa5,76178,13019
chr1,37430139,37438987,+,Unc50,67387,8849
chr1,37439340,37541060,-,Mgat4a,269181,101721
chr1,37611676,37720089,-,2010300C02Rik,72097,108414
chr1,37754570,37866426,-,Tsga10,211484,111857
chr1,37868502,37878972,+,Lipt1,623661,10471
chr1,37874801,37890449,-,Mitd1,69028,15649
chr1,37890477,37898338,+,Mrpl30,107734,7862
chr1,37905923,37916493,-,Lyg2,332427,10571
chr1,37946738,37957759,-,Lyg1,69541,11022
chr1,37983867,37997294,-,Txndc9,98258,13428
chr1,37998010,38055579,+,Eif5b,226982,57570
chr1,38052786,38129921,-,Rev1,56210,77136
chr1,38175393,38630178,-,Aff3,16764,454786
chr1,38793669,38836687,-,Lonrf2,381338,43019
chr1,38863867,38898177,-,Chst10,98388,34311
chr1,38896610,38898950,+,LOC115486944,115486944,2341
chr1,38939149,38950276,+,Nms,433292,11128
chr1,38987814,38997236,+,Pdcl3,68833,9423
chr1,39193702,39363240,+,Npas2,18143,169539
chr1,39367851,39371911,+,Rpl31,114641,4061
chr1,39371495,39478778,-,Tbc1d8,54610,107284
chr1,39535701,39546881,+,Cnot11,52846,11181
chr1,39551294,39577439,-,Rnf149,67702,26146
chr1,39618406,39652052,-,Creg2,263764,33647
chr1,39665299,39720989,-,Rfx8,619289,55691
chr1,39804141,39805332,-,Gm3646,100042065,1192
chr1,39900902,40026310,+,Map4k4,26921,125409
chr1,40084692,40125230,+,Il1r2,16178,40539
chr1,40222480,40316201,+,Il1r1,16177,93722
chr1,40324589,40367555,+,Il1rl2,107527,42967
chr1,40404864,40465418,+,Il1rl1,17082,60555
chr1,40465552,40500854,+,Il18r1,16182,35303
chr1,40515362,40551707,+,Il18rap,16174,36346
chr1,40579986,40630731,+,Slc9a4,110895,50746
chr1,40681712,40768885,+,Slc9a2,226999,87174
chr1,40772040,40790657,-,Mfsd9,211798,18618
chr1,40805573,40856887,+,Tmem182,381339,51315
chr1,42695768,42700210,+,Pou3f3,18993,4443
chr1,42851233,42905683,+,Mrps9,69527,54451
chr1,42952872,43035451,+,Gpr45,93690,82580
chr1,43047200,43098712,-,Tgfbrap1,73122,51513
chr1,43098710,43115946,+,AI597479,98404,17237
chr1,43123071,43198343,-,Fhl2,14200,75273
chr1,43445483,43570518,+,Nck2,17974,125036
chr1,43730602,43742564,+,Ecrg4,78896,11963
chr1,43746961,43827839,-,Uxs1,67883,80879
chr1,43933970,44003000,+,Tpp2,22019,69031
chr1,44009399,44042620,-,Mettl21c,433294,33222
chr1,44055869,44082447,-,Ccdc168,102636082,26579
chr1,44086613,44102491,-,Tex30,75623,15879
chr1,44106546,44118880,-,Poglut2,72050,12335
chr1,44118957,44144771,+,Bivm,246229,25815
chr1,44146948,44181260,+,Ercc5,22592,34313
chr1,44204070,44218931,-,Mettl21e,403183,14862
chr1,44551380,44796838,+,Gulp1,70676,245459
chr1,45311538,45349706,+,Col3a1,12825,38169
chr1,45374331,45503282,-,Col5a2,12832,128952
chr1,45795153,45823638,+,Wdr75,73674,28486
chr1,45908070,45926532,-,Slc40a1,53945,18463
chr1,46066071,46373551,+,Dnah7b,227058,307481
chr1,46425428,46807477,+,Dnah7c,100101919,382050
chr1,46807544,46925776,-,Slc39a10,227059,118233
chr1,50900683,51187270,+,Tmeff2,56363,286588
chr1,51289126,51302960,+,Cavin2,20324,13835
chr1,51464968,51478475,-,Nabp1,109019,13508
chr1,51749758,51916063,-,Myo1b,17912,166306
chr1,51987106,52107189,+,Stat4,20849,120084
chr1,52119438,52161865,+,Stat1,20846,42428
chr1,52163449,52235009,-,Gls,14660,71561
chr1,52455849,52500712,-,Nab1,17936,44864
chr1,52568535,52651919,+,Nemp2,227094,83385
chr1,52656286,52727358,-,Mfsd6,98682,71073
chr1,52785425,52817688,-,Inpp1,16329,32264
chr1,52845038,52920986,+,Hibch,227095,75949
chr1,52922324,52992657,-,1700019D03Rik,67080,70334
chr1,53061640,53068079,+,Mstn,17700,6440
chr1,53158573,53187764,-,1700019A02Rik,69397,29192
chr1,53189187,53297031,-,Pms1,227099,107845
chr1,53297095,53310245,+,Ormdl1,227102,13151
chr1,53313356,53326343,+,Osgepl1,72085,12988
chr1,53344617,53352752,-,Asnsd1,70396,8136
chr1,53348329,53352752,-,Asdurf,110599589,4424
chr1,53396995,53707301,-,Dnah7a,627872,310307
chr1,53755512,53785237,-,Stk17b,98267,29726
chr1,53806872,54195034,-,Hecw2,329152,388163
chr1,54250661,54368727,+,Ccdc150,78016,118067
chr1,54395877,54439026,-,Gtf3c3,98488,43150
chr1,54442697,54447094,-,C1H2orf66,115486407,4398
chr1,54473000,54557684,-,Pgap1,241062,84685
chr1,54645340,54928983,-,Ankrd44,329154,283644
chr1,54985169,55027501,-,Sf3b1,81898,42333
chr1,55052770,55072702,+,Coq10b,67876,19933
chr1,55077833,55088243,-,Hspd1,15510,10411
chr1,55088148,55091317,+,Hspe1,15528,3170
chr1,55131245,55154899,+,Mob4,19070,23655
chr1,55170159,55227063,-,Rftn2,74013,56905
chr1,55237177,55240058,+,Mars2,212679,2882
chr1,55243566,55363789,-,Boll,75388,120224
chr1,55405946,55754285,+,Plcl1,227120,348340
chr1,56636044,56637451,-,Hsfy2,71066,1408
chr1,56793981,56981190,-,Satb2,212712,187210
chr1,57377596,57385428,+,1700066M21Rik,73467,7833
chr1,57388235,57406674,-,Tyw5,68736,18440
chr1,57406266,57417953,+,Maip1,68115,11688
chr1,57774102,57948398,+,Spats2l,67198,174297
chr1,57955101,57970141,-,Kctd18,51960,15041
chr1,57985340,58026277,+,Sgo2a,68549,40938
chr1,58029809,58106410,+,Aox1,11761,76602
chr1,58113135,58202221,+,Aox3,71724,89087
chr1,58210397,58268600,+,Aox4,71872,58204
chr1,58278326,58379264,+,Aox2,213043,100939
chr1,58392898,58407354,+,Bzw1,66882,14457
chr1,58411988,58424088,-,Clk1,12747,12101
chr1,58430993,58445591,-,Ppil3,70225,14599
chr1,58445151,58462276,+,Nif3l1,65102,17126
chr1,58462771,58505113,-,Orc2,18393,42343
chr1,58522806,58586333,-,Fam126b,213056,63528
chr1,58586397,58595964,+,Ndufb3,66495,9568
chr1,58656926,58696008,-,Flacc1,108812,39083
chr1,58711311,58758884,+,Cflar,12633,47574
chr1,58795233,58847503,+,Casp8,12370,52271
chr1,58849791,58896698,-,Gm28802,101056017,46908
chr1,58900449,58974345,-,Trak2,70827,73897
chr1,58973522,58995122,+,Stradb,227154,21601
chr1,58997116,59095023,-,C2cd6,73463,97908
chr1,59100584,59120422,-,Tmem237,381259,19839
chr1,59120935,59163389,-,Mpp4,227157,42455
chr1,59162756,59237231,-,Als2,74018,74476
chr1,59256861,59352497,+,Cdk15,271697,95637
chr1,59482147,59486955,+,Fzd7,14369,4809
chr1,59516264,59636417,+,Gm973,381260,120154
chr1,59639434,59670834,-,Sumo1,22218,31401
chr1,59684961,59711510,+,Nop58,55989,26550
chr1,59764279,59878081,+,Bmpr2,12168,113803
chr1,59913006,59985348,+,Fam117b,72750,72343
chr1,59985796,60043481,-,Ica1l,70375,57686
chr1,60071361,60098500,-,Wdr12,57750,27140
chr1,60098221,60153953,+,Carf,241066,55733
chr1,60178740,60338328,+,Nbeal1,269198,159589
chr1,60343300,60388060,+,Cyp20a1,77951,44761
chr1,60405768,60481945,+,Abi2,329165,76178
chr1,60471180,60567074,-,Raph1,77300,95895
chr1,60746388,60773359,+,Cd28,12487,26972
chr1,60909025,60915832,+,Ctla4,12477,6808
chr1,60960773,61000322,+,Icos,54167,39550
chr1,61638667,62642284,+,Pard3b,72823,1003618
chr1,62703317,62818692,+,Nrp2,18187,115376
chr1,63047801,63114267,-,Ino80d,227195,66467
chr1,63143592,63176822,-,Ndufs1,227197,33231
chr1,63176831,63180486,+,Eef1b2,55949,3656
chr1,63182571,63223278,-,Gpr1,241070,40708
chr1,63200358,63314576,+,Zdbf2,73884,114219
chr1,63445717,63596111,+,Adam23,23792,150395
chr1,63615968,63620821,+,Gm39653,105243944,4854
chr1,63622851,63686927,-,Dytn,241073,64077
chr1,63698827,63730318,-,Mdh1b,76668,31492
chr1,63730599,63753385,+,Fastkd2,75619,22787
chr1,63754909,63769267,-,4933402D24Rik,74426,14359
chr1,64029448,64122345,-,Klf7,93691,92898
chr1,64532794,64604548,+,Creb1,12912,71755
chr1,64606473,64620466,-,Mettl21a,67099,13994
chr1,64691041,64725646,+,Ccnyl1,227210,34606
chr1,64730558,64737750,-,Fzd5,14367,7193
chr1,64789120,64956824,-,Plekhm3,241075,167705
chr1,64954724,64961820,+,LOC115487094,115487094,7097
chr1,65013078,65032759,-,Akr1cl,70861,19682
chr1,65048555,65051816,-,Cryge,12968,3262
chr1,65061838,65063440,-,Crygd,12967,1603
chr1,65071525,65073532,-,Crygc,12966,2008
chr1,65080222,65082290,-,Crygb,12965,2069
chr1,65100389,65103363,-,Cryga,12964,2975
chr1,65105284,65123351,-,D630023F18Rik,98303,18068
chr1,65158616,65186479,-,Idh1,15926,27864
chr1,65186640,65278696,+,Pikfyve,18711,92057
chr1,65280282,65389625,+,Pth2r,213527,109344
chr1,65926522,65928311,+,Crygf,12969,1790
chr1,66175202,66442583,+,Map2,17756,267382
chr1,66467915,66699150,+,Unc80,329178,231236
chr1,66700797,66719805,+,Rpe,66646,19009
chr1,66719243,66817596,-,Kansl1l,68691,98354
chr1,66830839,66863309,-,Acadl,11363,32471
chr1,66924295,66947932,-,Myl1,17901,23638
chr1,67000517,67038891,-,Lancl1,14768,38375
chr1,67122426,67231267,+,Cps1,227231,108842
chr1,68031884,69108576,-,Erbb4,13869,1076693
chr1,69531207,69687351,-,Ikzf2,22779,156145
chr1,69826872,70725132,+,Spag16,66722,898261
chr1,70725439,70888938,+,Vwc2l,320460,163500
chr1,71027535,71103141,-,Bard1,12021,75607
chr1,71243090,71414910,-,Abca12,74591,171821
chr1,71557156,71579403,+,Atic,108147,22248
chr1,71585473,71653280,-,Fn1,14268,67808
chr1,72159233,72212314,-,Mreg,381269,53082
chr1,72259172,72284321,-,Pecr,111175,25150
chr1,72284351,72303104,+,Tmem169,271711,18754
chr1,72307417,72394953,+,Xrcc5,22596,87537
chr1,72427112,72537159,-,March4,381270,110048
chr1,72536695,72636790,+,Smarcal1,54380,100096
chr1,72642980,72700584,-,Ankar,319695,57605
chr1,72711260,72713813,+,Rpl37a,19981,2554
chr1,72824480,72852474,+,Igfbp2,16008,27995
chr1,72858065,72874865,-,Igfbp5,16011,16801
chr1,73015074,73015899,-,Tnp1,21958,826
chr1,73910232,74124548,-,Tns1,21961,214317
chr1,74124433,74148230,+,Rufy4,435626,23798
chr1,74153994,74161246,+,Cxcr2,12765,7253
chr1,74191785,74194708,-,Cxcr1,227288,2924
chr1,74236490,74268209,+,Arpc2,76709,31720
chr1,74278600,74279589,+,Gpbar1,227289,990
chr1,74279840,74284738,-,Aamp,227290,4899
chr1,74284599,74353692,+,Pnkd,56695,69094
chr1,74288247,74304336,-,Tmbim1,69660,16090
chr1,74362108,74369323,+,Catip,241112,7216
chr1,74375014,74386057,+,Slc11a1,18173,11044
chr1,74391609,74397285,+,Ctdsp1,227292,5677
chr1,74409384,74435560,+,Vil1,22349,26177
chr1,74435510,74544286,-,Usp37,319651,108777
chr1,74506036,74530842,+,Cnot9,58184,24807
chr1,74541975,74565977,+,Plcd4,18802,24003
chr1,74566331,74588133,-,Zfp142,77264,21803
chr1,74588289,74592443,+,Bcs1l,66821,4155
chr1,74593748,74601397,-,Rnf25,57751,7650
chr1,74601391,74636894,+,Stk36,269209,35504
chr1,74661645,74701832,+,Ttll4,67534,40188
chr1,74713148,74737897,+,Cyp27a1,104086,24750
chr1,74738922,74749471,-,Prkag3,241113,10550
chr1,74754342,74785322,+,Wnt6,22420,30981
chr1,74792019,74804176,+,Wnt10a,22409,12158
chr1,74855029,74857732,+,Cdk5r2,12570,2704
chr1,74881501,74885473,-,Fev,260298,3973
chr1,74889934,74898842,-,Cryba2,12958,8909
chr1,74902071,74935626,-,Cfap65,241116,33556
chr1,74945315,74951672,-,Ihh,16147,6358
chr1,74967346,75125226,-,Nhej1,75570,157881
chr1,75125541,75135223,-,Slc23a3,22626,9683
chr1,75135762,75142744,-,Cnppd1,69171,6983
chr1,75142786,75147909,+,Retreg2,227298,5124
chr1,75168646,75171626,+,Zfand2b,68818,2981
chr1,75171640,75180392,-,Abcb6,74104,8753
chr1,75180861,75192010,-,Atg9a,245860,11150
chr1,75192160,75199387,+,Ankzf1,52231,7228
chr1,75196971,75210827,-,Glb1l,74577,13857
chr1,75210819,75215606,+,Stk16,20872,4788
chr1,75214972,75221261,-,Tuba4a,22145,6290
chr1,75220095,75232093,-,A630095N17Rik,381272,11999
chr1,75236395,75245692,+,Dnajb2,56812,9298
chr1,75247035,75264497,-,Ptprn,19275,17463
chr1,75272197,75278415,-,Resp18,19711,6219
chr1,75308565,75317654,-,Dnpep,13437,9090
chr1,75360292,75368579,+,Des,13346,8288
chr1,75375297,75432320,+,Speg,11790,57024
chr1,75435911,75443179,+,Gmppa,69080,7269
chr1,75450510,75474340,+,Asic4,241118,23831
chr1,75474569,75479471,-,Chpf,74241,4903
chr1,75479532,75485693,+,Tmem198,319998,6162
chr1,75485825,75506486,-,Obsl1,98733,20662
chr1,75507077,75510366,+,Inha,16322,3290
chr1,75521529,75537335,+,Stk11ip,71728,15807
chr1,75546044,75559431,+,Slc4a3,20536,13388
chr1,77367182,77515107,-,Epha4,13838,147926
chr1,78101267,78197136,-,Pax3,18505,95870
chr1,78214964,78218538,-,Gm2102,100039210,3575
chr1,78309549,78420289,+,Sgpp2,433323,110741
chr1,78417958,78488897,-,Farsb,23874,70940
chr1,78511060,78606964,+,Mogat1,68393,95905
chr1,78657825,78707743,+,Acsl3,74205,49919
chr1,78657825,78667601,+,Utp14b,195434,9777
chr1,78816911,78820032,+,Kcne4,57814,3122
chr1,79434366,79440026,-,Scg2,20254,5661
chr1,79606869,79672018,-,Ap1s3,252903,65150
chr1,79702262,79776143,-,Wdfy1,69368,73882
chr1,79776018,79781445,+,Mrpl44,69163,5428
chr1,79794317,79858665,-,Serpine2,20720,64349
chr1,80198699,80214205,-,Fam124b,241128,15507
chr1,80264923,80340690,-,Cul3,26554,75768
chr1,80501068,80758765,-,Dock10,210293,257698
chr1,81076522,81367706,+,Nyap2,241134,291185
chr1,82233105,82291439,-,Irs1,16367,58335
chr1,82316457,82445366,+,Rhbdd1,76867,128910
chr1,82448419,82587034,-,Col4a4,12829,138616
chr1,82586921,82722059,+,Col4a3,12828,135139
chr1,82724876,82752390,+,Mff,75734,27515
chr1,82756647,82768461,-,Tm4sf20,66261,11815
chr1,82839017,82901001,+,Agfg1,15463,61985
chr1,83012523,83038820,-,Slc19a3,80721,26298
chr1,83060930,83061921,+,Krtap28-13,71386,992
chr1,83116766,83119167,+,Ccl20,20297,2402
chr1,83159742,83210577,+,Daw1,71227,50836
chr1,83255442,83408411,-,Sphkap,77629,152970
chr1,84036293,84339842,-,Pid1,98496,303550
chr1,84369839,84696221,-,Dner,227325,326383
chr1,84721189,84850004,-,Trip12,14897,128816
chr1,84839841,84900487,+,Fbxo36,66153,60647
chr1,84905488,84935281,-,Slc16a14,71781,29794
chr1,85088139,85110297,-,A530032D15Rik,381287,22159
chr1,85111061,85285901,+,LOC115485726,115485726,174841
chr1,85111871,85118523,-,Gm35498,102639105,6653
chr1,85155201,85309252,-,Gm38510,102638555,154052
chr1,85199592,85215398,+,Gm7609,665378,15807
chr1,85241286,85282883,-,C130026I21Rik,620078,41598
chr1,85313407,85317321,-,LOC108167347,108167347,3915
chr1,85326832,85555681,+,LOC101055758,101055758,228850
chr1,85496430,85514604,+,Gm2427,100039794,18175
chr1,85570735,85610850,-,Sp110,109032,40116
chr1,85587491,85645040,+,Sp140,434484,57550
chr1,85649948,85709998,+,Sp100,20684,60051
chr1,85717083,85736656,-,A630001G21Rik,319997,19574
chr1,85793441,85851577,+,Cab39,12283,58137
chr1,85894510,85908698,+,Itm2c,64294,14189
chr1,85933221,85991583,-,Gpr55,227326,58363
chr1,86018031,86029961,+,Spata3,70060,11931
chr1,86045863,86055456,+,2810459M11Rik,72792,9594
chr1,86064619,86139295,+,Psmd1,70247,74677
chr1,86097546,86116231,-,Htr2b,15559,18686
chr1,86154729,86278284,+,Armc9,78795,123556
chr1,86303221,86307305,+,B3gnt7,227327,4085
chr1,86344719,86359455,-,Ncl,17975,14737
chr1,86386242,86389361,-,Nmur1,14767,3120
chr1,86426329,86428049,+,Tex44,71863,1721
chr1,86526557,86530712,+,Ptma,19231,4156
chr1,86543012,86582785,-,Pde6d,18582,39774
chr1,86582646,86606828,+,Cops7b,26895,24183
chr1,86666293,86670573,-,Nppc,18159,4281
chr1,86701924,87050097,+,Dis3l2,208718,348174
chr1,87086690,87095934,-,Alppl2,11650,9245
chr1,87098002,87101606,-,Alpi,76768,3605
chr1,87124954,87128728,+,Akp3,11648,3775
chr1,87142874,87157085,-,Ecel1,13599,14212
chr1,87183102,87188405,+,Prss56,69453,5304
chr1,87190597,87200070,+,Chrnd,11447,9474
chr1,87205811,87211835,+,Chrng,11449,6025
chr1,87213911,87240488,+,Eif4e2,26987,26578
chr1,87264353,87310841,+,Efhd1,98363,46489
chr1,87326931,87450810,+,Gigyf2,227331,123880
chr1,87384577,87394729,-,Kcnj13,100040591,10153
chr1,87470201,87475482,+,Snorc,73234,5282
chr1,87476829,87573870,-,Ngef,53972,97042
chr1,87574027,87597845,+,Neu2,23956,23819
chr1,87620312,87720510,+,Inpp5d,16331,100199
chr1,87756007,87792428,+,Atg16l1,77040,36422
chr1,87798143,87845158,+,Sag,20215,47016
chr1,87853264,87945177,+,Dgkd,227333,91914
chr1,87945119,88008582,-,Usp40,227334,63464
chr1,88055411,88220002,+,Ugt1a10,394430,164592
chr1,88070779,88220002,+,Ugt1a9,394434,149224
chr1,88095001,88220002,+,Ugt1a7c,394432,125002
chr1,88103257,88218998,+,Ugt1a6b,394435,115742
chr1,88134809,88220002,+,Ugt1a6a,94284,85194
chr1,88166012,88220002,+,Ugt1a5,394433,53991
chr1,88200611,88220002,+,Ugt1a2,22236,19392
chr1,88204732,88205748,-,Dnajb3,15504,1017
chr1,88211959,88220002,+,Ugt1a1,394436,8044
chr1,88226991,88262289,+,Mroh2a,100040766,35299
chr1,88258856,88277644,-,Hjurp,381280,18789
chr1,88306735,88388853,+,Trpm8,171382,82119
chr1,88406966,88428300,+,Spp2,75396,21335
chr1,88499871,88525909,-,Glrp1,14659,26039
chr1,88698225,88702191,-,Arl4c,320982,3967
chr1,89070333,89155087,+,Sh3bp4,98402,84755
chr1,89454811,89895282,+,Agap1,347722,440472
chr1,89927962,89931176,-,Gbx2,14472,3215
chr1,89932075,89934593,+,LOC102637806,102637806,2519
chr1,89952591,90014666,-,Asb18,208372,62076
chr1,90042132,90153436,-,Iqca,74918,111305
chr1,90203980,90215724,+,Ackr3,12778,11745
chr1,90602960,90613341,+,Cops8,108679,10382
chr1,90766860,90844001,-,Col6a3,12835,77142
chr1,90915024,90951142,+,Mlph,171531,36119
chr1,90951709,90954121,+,Prlh,623503,2413
chr1,90958133,90969673,-,Rab17,19329,11541
chr1,90996930,91128944,+,Lrrfip1,16978,132015
chr1,91144973,91170799,+,Rbm44,329207,25827
chr1,91179822,91225196,+,Ramp1,51801,45375
chr1,91249690,91286521,+,Ube2f,67921,36832
chr1,91298295,91321080,+,Scly,50880,22786
chr1,91322075,91348303,+,Espnl,227357,26229
chr1,91351073,91362404,+,Klhl30,70788,11332
chr1,91366305,91374217,+,Erfe,227358,7913
chr1,91373846,91398844,-,Ilkap,67444,24999
chr1,91411483,91414038,-,Hes6,55927,2556
chr1,91415977,91459351,-,Per2,18627,43375
chr1,91494590,91529307,+,Traf3ip1,74019,34718
chr1,91540001,91559590,+,Asb1,65247,19590
chr1,91801461,91848034,+,Twist2,13345,46574
chr1,91928779,92195702,-,Hdac4,208727,266924
chr1,92439486,92473825,-,Ndufa10,67273,34340
chr1,92479681,92480619,-,Olfr1416,259040,939
chr1,92490818,92491753,-,Olfr1415,258228,936
chr1,92511048,92518515,-,Olfr1414,259041,7468
chr1,92573125,92574206,+,Olfr1413,259039,1082
chr1,92588332,92589297,+,Olfr1412,258274,966
chr1,92596521,92597492,+,Olfr1411,258483,972
chr1,92607839,92608807,+,Olfr1410,258484,969
chr1,92619881,92621001,+,Olfr12,257890,1121
chr1,92637145,92641985,-,Cops9,66915,4841
chr1,92644218,92648899,-,Otos,260301,4682
chr1,92831645,92860211,+,Gpc1,14733,28567
chr1,92859840,92902987,-,Ankmy1,241158,43148
chr1,92906989,92908620,+,Dusp28,67446,1632
